leiid,rightname,symptom
1,日晒伤,皮肤微微变红皮肤发烫晒黑出现脱皮起疹子热得发痛
2,多汗症,手汗者中大部分同时有足底多汗且足汗又容易蓄积即使频繁更换鞋袜也不能根除汗液及其异味。
3,日光性皮炎,皮肤红肿灼热疼痛水疱灼痛皮肤脱屑
4,失眠,入睡困难睡眠维持困难如易醒早醒晚上睡不着
5,湿疹,红斑水肿粟粒大小的丘疹丘疱疹水疱糜烂及渗出
6,脚气,有蜕皮小水泡溃烂脚趾间水泡瘙痒
7,结膜炎,眼睛发红干涩眼痒疼痛异物感怕光分泌物多流泪
8,关节痛,关节酸痛胀痛刺痛钝痛
9,过敏性鼻炎,阵发性喷嚏清水样鼻涕鼻塞鼻痒
10,感冒,咽干咽痒打喷嚏鼻塞咳嗽流眼泪头痛
11,哮喘,反复发作的喘息气急胸闷或咳嗽
12,慢性咽炎,咽干咽痛干咳咽部异物
13,宝宝腹泻,婴儿小号大便次数增多和大便变稀薄
14,急性肠炎,发热恶心呕吐腹部不适先吐后泻
15,皮肤瘙痒,丘疹湿疹瘙痒
16,便秘,排便次数减少粪便干结排便困难还可能伴有腹部胀痛食欲减退疲乏无力拉不出屎
17,脑梗塞,头痛眩耳鸣半身不遂
18,口腔溃疡,
19,阳痿&早泄,不能勃起勃起不硬勃起维持时间过短软不受控制的射精射得快
20,前列腺炎,寒战发热疲乏无力尿频尿急直肠刺激疼痛排尿异常尿不出
21,男性不育症,精血不足 精子凝集 精子稀少 精子大头畸形 输精管变粗 精虚血弱 死精子过多 精子存活率低 精子异常 精冷不育
22,泌尿系统疾病,尿频尿急尿痛水肿血尿排尿困难
23,肾病,水肿蛋白尿血尿排尿不正常 腰痛 乏力 血压升高 贫血 尿不出
24,补肾,
25,脱发,
26,高血压,
27,冠心病,
28,脑血管病,
29,高血脂,
30,心绞痛,
31,血液疾病,
32,心力衰竭,
33,静脉曲张,
34,心律失常,
35,动脉疾病,
36,心肌炎,
37,低血压,
38,肺动脉高压,
39,糖尿病,
40,甲状腺疾病,
41,抗感染,
42,抑郁症,
43,癫痫,
44,精神分裂症,
45,帕金森,
46,老年性痴杲,
47,中风,
48,多动症,
49,神经性疼痛,
50,神经损伤,
51,失眠,
52,头痛偏头痛,
53,焦虑症,
54,戒烟,
55,神经衰弱,
56,周围神经病变,
57,面瘫,
58,运动神经元病,
59,乙肝,
60,脂肪肝,
61,酒精肝,
62,肝纤维化肝硬化,
63,肝性脑病,
64,胆结石,
65,胆道疾病,
66,保肝护肝,
67,免疫调节,
68,感冒发烧,
69,咳嗽,
70,上火,
71,小儿感冒,
72,哮喘,
73,支气管炎,
74,慢性阻塞性肺疾病,
75,皮炎/湿疹/脚气,
76,座疮(青春痘),
77,蚊虫叮咬,
78,荨麻疹,
79,脱发,
80,过敏,
81,银屑病(牛皮癣),
82,疤痕(瘢痕),
83,白癜风,
84,灰指甲,
85,烧烫创伤,
86,疱疹,
87,黄褐斑,
88,尖锐湿疣,
89,艾滋病,
90,系统性红斑狼疮,
91,风湿类风湿,
92,痛风,
93,骨质疏松,
94,关节炎,
95,颈椎病,
96,脊椎炎,
97,腰椎病,
98,股骨头坏死,
99,骨质增生/骨刺,
100,跌打骨伤,
101,强直性脊柱炎,
102,外用贴膏,
103,器官移植,
104,疼痛用药,
105,补肾,
106,补血补气,
107,减肥瘦身,
108,增强抵抗力,
109,安神助眠,
110,贫血,
111,消化不良,
112,胃肠溃疡,
113,胃炎,
114,小儿肠胃病,
115,腹泻,
116,便秘,
117,痔疮,
118,结肠炎,
119,肠道营养,
120,蛔虫病,
121,鼻炎,
122,白内障,
123,青光眼,
124,咽喉炎,
125,眼部炎症,
126,口腔溃疡,
127,眼干眼涩,
128,近视弱视,
129,耳聋耳鸣,
130,眩晕,
131,眼部麻醉,
132,视网膜病变,
133,牙周病痛,
134,避孕,
135,阴道炎,
136,月经不调,
137,白带异常,
138,盆腔炎,
139,宫颈炎,
140,痛经,
141,子宫疾病,
142,乳腺疾病,
143,保胎促孕,
144,更年期,
145,产后用药,
146,肺癌,
147,癌症止痛止呕,
148,肝癌,
149,胃癌,
150,白血病,
151,乳腺癌,
152,升白升血小板,
153,膀胱癌,
154,宫颈癌,
155,淋巴癌,
156,脑癌,
157,鼻咽癌,
158,甲状腺瘤,
159,结直肠癌,
160,前列腺癌,
161,食道癌,
162,化疗提高营养,
163,钙片,
164,液体钙,
165,碳酸钙,
166,氨糖钙质,
167,矿物质,
168,维生素C,
169,维生素E,
170,维生素AD,
171,维生素B,
172,复合维生素,
173,锌,
174,铁,
175,硒,
176,叶酸,
